location_id,borough,zone,centroid_x,centroid_y,snapped_node_key_x,snapped_node_key_y,snapped_x,snapped_y,snap_distance
224,Manhattan,Stuy Town/Peter Cooper Village,990735.9402968985,205899.41753040857,990612.8194713001,205866.627495053,990612.8194713001,205866.627495053,127.41241742719966
229,Manhattan,Sutton Place/Turtle Bay North,993906.172303669,214975.36687642592,994133.1482816068,214851.90307137216,994133.1482816068,214851.90307137216,258.38228600114445
230,Manhattan,Times Sq/Theatre District,988628.0600457706,216099.13976819027,988634.034304275,216110.8999879906,988634.034304275,216110.8999879906,13.190698784690273
231,Manhattan,TriBeCa/Civic Center,982065.7013859933,200780.5404273566,982160.6214817391,200742.95217149297,982160.6214817391,200742.95217149297,102.09163313056801
232,Manhattan,Two Bridges/Seward Park,988955.8875207301,199673.27702510695,988962.2132490554,199713.88276679837,988962.2132490554,199713.88276679837,41.09551188580347
233,Manhattan,UN/Turtle Bay South,992439.5608765966,212491.93584201983,992576.8258392861,212434.18434571996,992576.8258392861,212434.18434571996,148.9191233758094
234,Manhattan,Union Sq,986894.2367953612,209001.62663024908,986877.2728109873,208977.05471085777,986877.2728109873,208977.05471085777,29.858934817051743
236,Manhattan,Upper East Side North,996155.3867664873,223613.7535761809,996103.2855655822,223522.45147925575,996103.2855655822,223522.45147925575,105.12187231341468
237,Manhattan,Upper East Side South,993769.0237141158,219305.827825634,993752.4304266308,219282.85956643074,993752.4304266308,219282.85956643074,28.33510403000275
238,Manhattan,Upper West Side North,991712.7644430182,227717.51805940425,991575.0457757588,227846.42638754542,991575.0457757588,227846.42638754542,188.6366570310995
239,Manhattan,Upper West Side South,990167.4982920033,224895.87216485172,990390.2644396736,224851.34336157033,990390.2644396736,224851.34336157033,227.17299766819886
243,Manhattan,Washington Heights North,1002830.5879862525,251552.22868923834,1002885.706748094,251412.47600475466,1002885.706748094,251412.47600475466,150.2294602510749
244,Manhattan,Washington Heights South,1000464.3110465184,245939.8806584463,1000220.449357613,246105.19246539992,1000220.449357613,246105.19246539992,294.61248587604985
246,Manhattan,West Chelsea/Hudson Yards,983137.4661049042,213727.4000807691,983190.674899495,213712.87933526613,983190.674899495,213712.87933526613,55.15458160267366
249,Manhattan,West Village,983453.2246479206,206902.40799519923,983426.6425533949,206787.53098332742,983426.6425533949,206787.53098332742,117.91240649723129
261,Manhattan,World Trade Center,980639.5117707981,197635.17370314812,980622.7832543881,197641.13046688997,980622.7832543881,197641.13046688997,17.757429305940924
262,Manhattan,Yorkville East,999064.7250831138,221974.4007879432,998895.0854172563,221976.40163177563,998895.0854172563,221976.40163177563,169.65146509317267
263,Manhattan,Yorkville West,997817.9196590832,223005.98840900668,997751.7405593426,222930.66802331884,997751.7405593426,222930.66802331884,100.26382070644156
